train/global_step,MiniLM-L6-based - eval/steps_per_second,deberta-based - eval/steps_per_second
100,5.097,1.591
200,5.3,1.584
300,5.058,1.631
400,5.316,1.575
500,5.023,1.582
600,4.879,1.589
700,4.899,1.591
800,5.094,1.604
900,5.17,1.596
1000,5.286,1.593
1100,4.933,1.577
1200,4.997,1.587
1300,5.114,1.608
1400,4.852,1.548
1500,5.035,1.607
1600,4.899,1.503
1700,5.044,1.603
1800,4.873,1.553
1900,5.156,1.573
2000,5.084,1.586
2100,5.035,1.552
2200,4.745,1.644
2300,4.795,1.582
2400,4.982,1.589
2500,4.954,1.63
2600,5.13,1.595
2700,5.154,1.578
2800,5.189,1.568
2900,5.177,1.565
3000,5.336,1.598
3100,5.076,1.598
3200,4.958,1.607
3300,5.032,1.514
3400,4.912,1.527
3500,4.808,1.581
3600,4.878,1.534
3700,4.737,1.582
3800,4.869,1.586
3900,4.863,1.539
4000,5.218,1.517
4100,5.124,1.562
4200,4.826,1.555
4300,4.966,1.554
4400,4.859,1.605
4500,5.055,1.584
4600,4.669,1.589
4700,5.097,1.602
4800,5.114,1.595
4900,4.912,1.615
5000,5.015,1.603
5100,4.845,1.588
5200,4.98,1.582
5300,4.695,1.609
5400,4.658,1.604
5500,4.817,1.63
5600,4.8,1.538
5700,4.578,1.555
5800,4.72,1.584
5900,4.825,1.512
6000,4.904,1.517
6100,4.909,1.533
6200,4.668,1.542
6300,4.812,1.55
6400,4.804,1.57
6500,4.809,1.59
6600,4.86,1.547
6700,4.692,1.553
6800,4.785,1.538
6900,5.067,1.591
7000,4.619,1.509
7100,4.952,1.503
7200,4.596,1.502
7300,4.957,1.483
7400,4.848,1.555
7500,4.838,1.608
7600,4.97,1.572
7700,4.889,1.601
7800,4.888,1.527
7900,4.853,1.566
8000,4.685,1.563
8100,4.855,1.583
8200,4.847,1.52
8300,4.947,1.488
8400,5.212,1.553
8500,5.019,1.545
8600,4.77,1.563
8700,4.793,1.548
8800,4.846,1.569
8900,4.915,1.646
9000,4.601,1.538
9100,4.649,1.528
9200,4.885,1.567
9300,4.889,1.573
9400,4.862,1.576
9500,4.76,1.53
9600,4.848,1.57
9700,4.989,1.559
9800,4.916,1.593
9900,5.149,1.574
10000,4.787,1.535
10100,5.371,1.511
10200,4.84,1.487
10300,4.877,1.54
10400,4.8,1.537
10500,4.866,1.558
10600,4.845,1.529
10700,4.718,1.598
10800,4.806,1.592
10900,4.886,1.573
11000,4.936,1.57
11100,4.812,1.594
11200,5.05,1.612
11300,4.852,1.611
11400,4.865,1.57
11500,4.647,1.507
11600,5.031,1.53
11700,4.862,1.554
11800,4.678,1.531
11900,4.939,1.493
12000,4.996,1.483
12100,5.101,1.632
12200,5.043,1.539
12300,4.622,1.506
